1 2 3 A
1 2 8 A
1 2 10 A
1 3 4 A
1 3 6 A
1 3 7 A
1 4 3 A
1 4 6 A
1 4 7 A
1 4 9 A
1 5 7 A
1 5 8 A
1 5 9 A
1 5 10 A
1 6 1 A
1 6 4 A
1 6 5 A
1 6 7 A
1 6 8 A
1 7 1 A
1 7 3 A
1 7 4 A
1 7 7 A
1 8 2 A
1 8 5 A
1 8 6 A
1 8 8 A
1 9 1 A
1 9 4 A
1 9 5 A
1 9 6 A
1 9 7 A
1 9 10 A
1 10 2 A
1 10 3 A
1 10 5 A
1 10 7 A
1 10 10 A
2 1 2 A
2 1 4 A
2 1 6 A
2 1 7 A
2 2 1 A
2 2 3 A
2 2 5 A
2 2 6 A
2 2 10 A
2 3 1 A
2 3 4 A
2 3 5 A
2 3 6 A
2 3 8 A
2 3 9 A
2 4 1 A
2 4 6 A
2 4 7 A
2 4 9 A
2 4 10 A
2 5 2 A
2 5 3 A
2 5 5 A
2 5 7 A
2 6 8 A
2 7 1 A
2 7 2 A
2 7 3 A
2 7 4 A
2 7 7 A
2 7 8 A
2 7 9 A
2 7 10 A
2 8 2 A
2 8 3 A
2 8 4 A
2 8 6 A
2 8 8 A
2 8 9 A
2 9 1 A
2 9 2 A
2 9 3 A
2 9 5 A
2 9 6 A
2 9 7 A
2 9 8 A
2 9 10 A
2 10 3 A
2 10 6 A
2 10 9 A
3 1 1 A
3 1 3 A
3 1 7 A
3 1 9 A
3 1 10 A
3 2 2 A
3 2 5 A
3 2 7 A
3 2 8 A
3 3 1 A
3 3 4 A
3 3 6 A
3 3 8 A
3 3 9 A
3 3 10 A
3 4 2 A
3 4 4 A
3 4 5 A
3 4 6 A
3 4 10 A
3 5 3 A
3 5 4 A
3 5 5 A
3 5 6 A
3 5 8 A
3 6 2 A
3 6 5 A
3 6 6 A
3 6 9 A
3 6 10 A
3 7 1 A
3 7 2 A
3 7 3 A
3 7 5 A
3 7 7 A
3 7 8 A
3 7 9 A
3 8 2 A
3 8 4 A
3 8 6 A
3 8 9 A
3 8 10 A
3 9 3 A
3 9 5 A
3 9 6 A
3 10 1 A
3 10 2 A
3 10 4 A
3 10 5 A
4 1 3 A
4 1 4 A
4 1 7 A
4 1 10 A
4 2 2 A
4 2 3 A
4 2 5 A
4 2 6 A
4 2 7 A
4 2 9 A
4 3 1 A
4 3 2 A
4 3 3 A
4 3 5 A
4 3 6 A
4 3 7 A
4 3 8 A
4 3 10 A
4 4 2 A
4 4 3 A
4 4 7 A
4 4 8 A
4 4 10 A
4 5 4 A
4 5 6 A
4 5 9 A
4 6 1 A
4 6 3 A
4 6 4 A
4 6 6 A
4 6 7 A
4 6 9 A
4 7 2 A
4 7 3 A
4 7 4 A
4 7 5 A
4 7 6 A
4 7 7 A
4 7 8 A
4 8 1 A
4 8 2 A
4 8 4 A
4 8 6 A
4 8 7 A
4 8 8 A
4 9 2 A
4 9 4 A
4 9 7 A
4 9 9 A
4 10 3 A
4 10 5 A
4 10 8 A
5 1 1 A
5 1 6 A
5 2 2 A
5 2 3 A
5 2 4 A
5 2 6 A
5 2 7 A
5 3 4 A
5 3 5 A
5 3 7 A
5 3 8 A
5 3 9 A
5 4 5 A
5 4 7 A
5 4 8 A
5 4 9 A
5 5 1 A
5 5 3 A
