1 2 3 A
1 2 4 B
1 2 6 B
1 2 9 A
1 3 2 A
1 3 3 A
1 3 4 A
1 4 1 B
1 4 4 A
1 4 10 A
1 5 6 A
1 6 1 B
1 6 8 A
1 6 9 A
1 6 10 B
1 7 3 A
1 7 6 A
1 8 2 A
1 8 4 A
1 9 1 A
1 10 10 A
2 1 6 A
2 1 7 B
2 2 1 B
2 2 5 A
2 2 9 B
2 3 6 A
2 3 9 A
2 5 2 B
2 6 3 B
2 6 7 A
2 7 9 A
2 8 2 B
2 8 9 B
2 10 1 B
2 10 6 B
2 10 7 B
2 10 8 A
3 1 1 A
3 1 5 A
3 1 7 A
3 1 9 A
3 1 10 A
3 2 6 B
3 2 8 A
3 2 9 A
3 2 10 A
3 5 1 A
3 5 4 B
3 5 5 A
3 6 5 A
3 6 7 B
3 6 9 A
3 7 1 A
3 7 5 B
3 7 10 A
3 8 3 A
3 8 7 A
3 9 5 B
3 9 10 B
3 10 1 A
3 10 6 A
3 10 8 B
4 1 7 A
4 2 1 A
4 2 3 B
4 2 9 A
4 3 2 A
4 3 3 A
4 4 5 B
4 5 1 A
4 5 7 A
4 6 6 B
4 10 6 A
5 2 3 A
5 2 6 A
5 2 9 A
5 3 2 A
5 3 4 A
5 3 5 A
5 4 9 A
5 5 1 A
5 5 4 A
5 5 7 B
5 5 10 A
5 7 3 B
5 7 6 B
5 7 8 A
5 8 8 B
5 9 5 A
5 9 9 B
5 10 2 A
5 10 4 A
5 10 6 A
5 10 8 B
6 1 5 A
6 1 6 B
6 1 7 B
6 2 4 B
6 2 5 B
6 3 1 A
6 3 7 A
6 5 2 A
6 5 8 B
6 6 1 B
6 7 2 A
6 7 3 A
6 7 8 B
6 8 2 A
6 9 1 A
6 9 6 A
6 10 2 A
6 10 10 B
7 1 7 A
7 1 9 A
7 2 1 A
7 2 4 A
7 2 6 B
7 3 9 B
7 4 7 A
7 5 7 A
7 5 8 A
7 6 8 A
7 7 1 B
7 7 5 A
7 8 1 A
7 8 5 A
7 9 4 A
7 9 8 A
7 9 10 A
7 10 7 A
7 10 8 A
8 1 4 A
8 1 9 A
8 2 2 A
8 2 5 B
8 2 8 A
8 2 9 B
8 3 6 A
8 4 10 A
8 5 5 B
8 5 10 B
8 6 3 A
8 6 5 A
8 6 10 A
8 7 2 B
8 8 5 A
8 8 9 B
8 8 10 A
8 9 4 A
8 9 5 A
8 9 7 B
8 9 8 A
8 9 10 A
8 10 8 A
8 10 9 A
9 1 8 A
9 2 1 A
9 2 2 B
9 2 8 A
9 3 7 A
9 3 9 A
9 4 2 B
9 4 9 A
9 5 5 A
9 5 10 B
9 6 2 B
9 6 7 B
9 6 10 B
9 7 2 A
9 7 5 A
9 7 7 B
9 8 6 B
9 8 9 B
9 9 5 B
9 9 6 B
9 9 9 A
9 9 10 A
9 10 9 A
9 10 10 A
10 1 8 A
10 2 1 A
10 2 6 A
10 2 7 A
10 2 8 A
10 5 5 A
10 5 6 A
10 5 9 B
10 6 5 A
10 6 6 A
10 6 9 B
10 7 3 A
10 8 5 B
10 8 7 A
10 9 10 A
10 10 2 A
