1 2 3 B
1 2 9 B
1 5 10 B
1 7 2 B
1 7 7 A
1 7 9 A
1 9 8 A
1 10 9 B
2 1 2 B
2 1 4 A
2 2 9 A
2 3 1 A
2 4 9 A
2 4 10 B
2 6 8 B
2 7 1 B
2 8 9 B
2 9 3 A
3 1 4 B
3 2 3 B
3 2 10 B
3 4 7 B
3 4 8 A
3 4 10 B
3 7 2 A
3 10 3 B
4 1 3 B
4 3 4 B
4 4 4 B
4 5 1 B
4 5 5 B
4 7 2 B
4 8 2 A
4 8 3 B
4 9 7 A
4 10 4 A
4 10 5 B
5 1 2 B
5 1 9 B
5 3 4 A
5 4 2 B
5 4 7 B
5 6 1 B
5 6 8 B
5 7 4 A
5 8 6 A
5 9 10 B
5 10 5 A
6 1 1 B
6 1 4 B
6 9 6 B
7 3 8 A
7 4 7 A
7 4 9 A
7 4 10 B
7 5 3 A
7 8 2 B
7 9 5 B
7 10 6 B
8 1 3 B
8 1 5 B
8 1 10 A
8 2 7 B
8 3 4 B
8 4 9 A
8 5 1 A
8 5 2 A
8 5 7 B
8 7 1 B
8 7 6 B
8 7 9 B
8 8 10 B
8 9 7 B
9 3 6 A
9 3 8 B
9 3 9 B
9 5 8 B
9 6 6 A
9 6 10 B
9 7 3 B
9 8 1 B
9 8 2 A
9 8 4 A
9 9 2 B
9 9 5 B
9 9 10 B
9 10 8 B
9 10 10 B
10 2 9 B
10 3 8 B
10 4 5 B
10 4 6 B
10 4 7 B
10 5 3 A
10 5 9 B
10 6 2 B
10 7 8 B
10 9 2 A
10 9 4 B
